Date,Short Interest__FILENAME__Cleaned_KO_Daily_with_ROC,Close__FILENAME__Cleaned_KO_Daily_with_ROC,Average Daily Volume__FILENAME__Cleaned_KO_Daily_with_ROC,Short Interest Ratio__FILENAME__Cleaned_KO_Daily_with_ROC,Short Interest_roc__FILENAME__Cleaned_KO_Daily_with_ROC,Average Daily Volume_roc__FILENAME__Cleaned_KO_Daily_with_ROC,Short Interest Ratio_roc__FILENAME__Cleaned_KO_Daily_with_ROC,CONF_Value__FILENAME__CONCCONF_Daily_Filled,Daily_Change__FILENAME__CONCCONF_Daily_Filled,ANR__FILENAME__ko_anr_feature_extracted_linear_ffill,Target Price__FILENAME__ko_anr_feature_extracted_linear_ffill,ANR Classification__FILENAME__ko_anr_feature_extracted_linear_ffill,ANR Change__FILENAME__ko_anr_feature_extracted_linear_ffill,Accts Payable__FILENAME__ko_daily_accts_payable,Rate of Change (%)__FILENAME__ko_daily_accts_payable,Return on Common Equity__FILENAME__ko_daily_ratios_with_roc,Return on Assets__FILENAME__ko_daily_ratios_with_roc,Return on Invested Capital__FILENAME__ko_daily_ratios_with_roc,EBITDA Margin__FILENAME__ko_daily_ratios_with_roc,Operating Margin__FILENAME__ko_daily_ratios_with_roc,Net Income Margin__FILENAME__ko_daily_ratios_with_roc,EPS Diluted__FILENAME__ko_daily_ratios_with_roc,Dividend per Share__FILENAME__ko_daily_ratios_with_roc,Current Ratio__FILENAME__ko_daily_ratios_with_roc,Quick Ratio__FILENAME__ko_daily_ratios_with_roc,Return on Common Equity_roc__FILENAME__ko_daily_ratios_with_roc,Return on Assets_roc__FILENAME__ko_daily_ratios_with_roc,Return on Invested Capital_roc__FILENAME__ko_daily_ratios_with_roc,EBITDA Margin_roc__FILENAME__ko_daily_ratios_with_roc,Operating Margin_roc__FILENAME__ko_daily_ratios_with_roc,Net Income Margin_roc__FILENAME__ko_daily_ratios_with_roc,EPS Diluted_roc__FILENAME__ko_daily_ratios_with_roc,Dividend per Share_roc__FILENAME__ko_daily_ratios_with_roc,Current Ratio_roc__FILENAME__ko_daily_ratios_with_roc,Quick Ratio_roc__FILENAME__ko_daily_ratios_with_roc,Revenue__FILENAME__ko_daily_revenue,Rate of Change (%)__FILENAME__ko_daily_revenue,Shares Outstanding__FILENAME__ko_daily_sharesOutstanding,Rate of Change (%)__FILENAME__ko_daily_sharesOutstanding,PX_LAST__FILENAME__ko_hp,Rate_of_Change__FILENAME__ko_hp,PX_LAST__FILENAME__KO_HP_with_signals,PX_BID__FILENAME__KO_HP_with_signals,Price__FILENAME__KO_HP_with_signals,RSI__FILENAME__KO_HP_with_signals,RSI_Signal__FILENAME__KO_HP_with_signals,MACD_Line__FILENAME__KO_HP_with_signals,MACD_Signal__FILENAME__KO_HP_with_signals,MACD_Hist__FILENAME__KO_HP_with_signals,MACD_Signal_Indicator__FILENAME__KO_HP_with_signals,Bollinger_SMA__FILENAME__KO_HP_with_signals,Bollinger_Upper__FILENAME__KO_HP_with_signals,Bollinger_Lower__FILENAME__KO_HP_with_signals,Bollinger_Signal__FILENAME__KO_HP_with_signals,SMA_9__FILENAME__KO_HP_with_signals,SMA_20__FILENAME__KO_HP_with_signals,EMA_9__FILENAME__KO_HP_with_signals,EMA_20__FILENAME__KO_HP_with_signals,SMA_Cross_Signal__FILENAME__KO_HP_with_signals,EMA_Cross_Signal__FILENAME__KO_HP_with_signals,Overall_Signal__FILENAME__KO_HP_with_signals,Stock Price__FILENAME__ko_q2_q4_seasonality_cleaned,Q_1__FILENAME__ko_q2_q4_seasonality_cleaned,Q_2__FILENAME__ko_q2_q4_seasonality_cleaned,Q_3__FILENAME__ko_q2_q4_seasonality_cleaned,Q_4__FILENAME__ko_q2_q4_seasonality_cleaned,CQ2_Stock_Price__FILENAME__ko_q2_q4_seasonality_cleaned,CQ4_Stock_Price__FILENAME__ko_q2_q4_seasonality_cleaned,CQ2_CQ4_Seasonality_Ratio__FILENAME__ko_q2_q4_seasonality_cleaned,CQ2_CQ4_Label_Daily__FILENAME__ko_q2_q4_seasonality_cleaned,Prev_Q4_Stock_Price__FILENAME__ko_q2_q4_seasonality_cleaned,CQ2_PQ4_Seasonality_Ratio__FILENAME__ko_q2_q4_seasonality_cleaned,CQ2_PQ4_Label_Daily__FILENAME__ko_q2_q4_seasonality_cleaned,M2_Value__FILENAME__M2_HP_Daily_Filled,Daily_Change__FILENAME__M2_HP_Daily_Filled,PX_LAST__FILENAME__pbj_hp,Rate_of_Change__FILENAME__pbj_hp,PX_LAST__FILENAME__PCUSEQTR_HP,Rate_of_Change__FILENAME__PCUSEQTR_HP,PX_LAST__FILENAME__VIX_HP,Rate_of_Change__FILENAME__VIX_HP,PX_LAST__FILENAME__xlp_hp,Rate_of_Change__FILENAME__xlp_hp,Future_xd_Return,Label
2020-01-29,36634601,56.7,11716103,3.126858905,0.0,0.0,0.0,128.2,1.1,1.8000000000000005,63.5,0,0.0,3517.0,0.0,49.6079,10.5191,12.7213,29.2788,23.8641,22.5187,135.0,2.5641,0.7567,0.5615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8573.0,0.0,4294.0,0.0,57.01,0.0,57.01,57.03,57.01,62.62556983547953,1,0.5637373345087298,0.4734157258310184,0.0903216086777113,0,56.1775,58.56892217101037,53.78607782898962,1,57.28333333333333,56.1775,57.06286737586349,56.53100749916761,1,1,0,57.01,1,0,0,0,42.12,49.18,0.8564457096380642,2,55.35,0.7609756097560975,0,15334.3,0.4,33.3106,-0.0095887682075097,0.5,-0.0909090909090909,16.39,0.0067567567567567,63.15,-0.005041752008823,-0.03648482722329416,Sell
2020-01-30,36634601,56.7,11716103,3.126858905,0.0,0.0,0.0,128.2,1.1,1.8000000000000005,63.5,0,0.0,3517.0,0.0,49.6079,10.5191,12.7213,29.2788,23.8641,22.5187,135.0,2.5641,0.7567,0.5615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8573.0,0.0,4294.0,0.0,58.86,0.0324504472899491,58.86,58.87,58.86,77.58931350818162,2,0.6782574692559962,0.514384074516014,0.1638733947399822,0,56.35300000000001,58.99117400966336,53.71482599033666,1,57.510000000000005,56.35300000000001,57.4222939006908,56.75281630877069,1,1,1,58.86,1,0,0,0,42.12,49.18,0.8564457096380642,2,55.35,0.7609756097560975,0,15334.3,0.4,33.6809,0.0111165815085889,0.61,0.2199999999999999,15.49,-0.0549115314215985,63.9,0.0118764845605701,-0.0912334352701325,Sell
2020-01-31,36185124,58.4,12162777,2.975070907,-0.012269193,0.038124793,-0.048543284,130.4,1.72,1.8000000000000005,63.5,0,0.0,3517.0,0.0,49.6079,10.5191,12.7213,29.2788,23.8641,22.5187,135.0,2.5641,0.7567,0.5615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8573.0,0.0,4294.0,0.0,58.4,-0.0078151546041453,58.4,58.38,58.4,70.07640217433796,2,0.7235566350066307,0.5562185866141374,0.1673380483924933,0,56.5235,59.230638905307885,53.81636109469211,1,57.67222222222222,56.5235,57.61783512055264,56.90969094603063,1,1,1,58.4,1,0,0,0,42.12,49.18,0.8564457096380642,2,55.35,0.7609756097560975,0,15401.3,0.44,33.13,-0.0163564512824775,0.74,0.2131147540983606,18.84,0.2162685603615235,63.18,-0.0112676056338028,-0.042465753424657526,Sell
2020-02-03,36185124,58.4,12162777,2.975070907,0.0,0.0,0.0,130.4,1.72,1.8000000000000005,63.5,0,0.0,3517.0,0.0,49.6079,10.5191,12.7213,29.2788,23.8641,22.5187,135.0,2.5641,0.7567,0.5615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8573.0,0.0,4294.0,0.0,58.58,0.0030821917808219,58.58,58.56,58.58,71.24954381642078,2,0.7651607490846928,0.5980070191082485,0.1671537299764443,0,56.718,59.42944630273801,54.006553697262,1,57.82888888888889,56.718,57.81026809644212,57.06876799878962,1,1,1,58.58,1,0,0,0,42.12,49.18,0.8564457096380642,2,55.35,0.7609756097560975,0,15401.3,0.44,33.1834,0.0016118321762752,0.5,-0.3243243243243243,17.97,-0.0461783439490446,63.18,0.0,-0.04301809491293951,Sell
2020-02-04,36185124,58.4,12162777,2.975070907,0.0,0.0,0.0,130.4,1.72,1.8000000000000005,63.5,0,0.0,3517.0,0.0,49.6079,10.5191,12.7213,29.2788,23.8641,22.5187,135.0,2.5641,0.7567,0.5615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8573.0,0.0,4294.0,0.0,58.84,0.00443837487197,58.84,58.83,58.84,72.90210563122704,2,0.8097775250822039,0.6403611203030396,0.1694164047791643,0,56.9265,59.61608439364269,54.2369156063573,1,57.96555555555555,56.9265,58.016214477153696,57.23745676080966,1,1,1,58.84,1,0,0,0,42.12,49.18,0.8564457096380642,2,55.35,0.7609756097560975,0,15401.3,0.44,33.114,-0.0020914071493578,0.46,-0.0799999999999999,16.05,-0.1068447412353922,63.56,0.0060145615701172,0.0013596193065941176,Hold
2020-02-05,36185124,58.4,12162777,2.975070907,0.0,0.0,0.0,130.4,1.72,1.8000000000000005,63.5,0,0.0,3517.0,0.0,49.6079,10.5191,12.7213,29.2788,23.8641,22.5187,135.0,2.5641,0.7567,0.5615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8573.0,0.0,4294.0,0.0,58.85,0.0001699524133242,58.85,58.83,58.85,72.96646727267166,2,0.8363031755066643,0.6795495313437645,0.1567536441628998,0,57.1565,59.66287313977578,54.650126860224205,1,58.07888888888889,57.1565,58.18297158172296,57.391032307399215,1,1,1,58.85,1,0,0,0,42.12,49.18,0.8564457096380642,2,55.35,0.7609756097560975,0,15401.3,0.44,33.3175,0.0061454369752975,0.51,0.108695652173913,15.15,-0.0560747663551401,64.07,0.0080239144115794,-0.03585386576040783,Sell
2020-02-06,36185124,58.4,12162777,2.975070907,0.0,0.0,0.0,130.4,1.72,1.8000000000000005,63.5,0,0.0,3517.0,0.0,49.6079,10.5191,12.7213,29.2788,23.8641,22.5187,135.0,2.5641,0.7567,0.5615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8573.0,0.0,4294.0,0.0,58.99,0.0023789294817331,58.99,58.99,58.99,73.90106988293903,2,0.8587229509046779,0.7153842152559472,0.1433387356487306,0,57.3885,59.64788300846657,55.12911699153343,1,58.22444444444445,57.3885,58.34437726537837,57.54331494478976,1,1,1,58.99,1,0,0,0,42.12,49.18,0.8564457096380642,2,55.35,0.7609756097560975,0,15401.3,0.44,33.3802,0.0018818938996023,0.47,-0.0784313725490196,14.96,-0.0125412541254125,64.18,0.0017168721710631,-0.06323105611120539,Sell
2020-02-07,36185124,58.4,12162777,2.975070907,0.0,0.0,0.0,130.4,1.72,1.8000000000000005,63.5,0,0.0,3517.0,0.0,49.6079,10.5191,12.7213,29.2788,23.8641,22.5187,135.0,2.5641,0.7567,0.5615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8573.0,0.0,4294.0,0.0,59.19,0.0033904051534157,59.19,59.18,59.19,75.21910740967557,2,0.8824567014198763,0.7487987124887331,0.1336579889311432,0,57.581,59.760124884709,55.40187511529099,1,58.41444444444445,57.581,58.5135018123027,57.70014209290503,1,1,1,59.19,1,0,0,0,42.12,49.18,0.8564457096380642,2,55.35,0.7609756097560975,0,15401.3,0.44,33.3431,-0.0011114373191293,0.56,0.1914893617021278,15.47,0.0340909090909091,64.26,0.0012464942349641,-0.1238384862307822,Sell
2020-02-10,36185124,58.4,12162777,2.975070907,0.0,0.0,0.0,130.4,1.72,1.8000000000000005,63.5,0,0.0,3517.0,0.0,49.6079,10.5191,12.7213,29.2788,23.8641,22.5187,135.0,2.5641,0.7567,0.5615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8573.0,0.0,4294.0,0.0,59.75,0.0094610576110829,59.75,59.75,59.75,78.49406784146431,2,0.935667398246089,0.7861724496402043,0.1494949486058847,0,57.792,59.952083819036496,55.63191618096349,1,58.71888888888889,57.792,58.76080144984216,57.895366655485496,1,1,1,59.75,1,0,0,0,42.12,49.18,0.8564457096380642,2,55.35,0.7609756097560975,0,15401.3,0.44,33.4494,0.0031880658966922,0.46,-0.1785714285714286,15.04,-0.0277957336780867,64.53,0.0042016806722688,-0.10192468619246864,Sell
2020-02-11,36185124,58.4,12162777,2.975070907,0.0,0.0,0.0,130.4,1.72,1.8000000000000005,63.5,0,0.0,3517.0,0.0,49.6079,10.5191,12.7213,29.2788,23.8641,22.5187,135.0,2.5641,0.7567,0.5615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8573.0,0.0,4294.0,0.0,59.59,-0.0026778242677824,59.59,59.59,59.59,75.4269375446429,2,0.9539302815344826,0.81972401601906,0.1342062655154225,0,57.965,60.11883623479501,55.81116376520498,1,59.00555555555555,57.965,58.92664115987373,58.05676030734402,1,1,1,59.59,1,0,0,0,42.12,49.18,0.8564457096380642,2,55.35,0.7609756097560975,0,15401.3,0.44,33.5896,0.0041914055259586,0.45,-0.0217391304347825,15.18,0.0093085106382979,64.29,-0.0037192003719199,-0.12384628293337807,Sell
